transaction_id,product_name,main_category,item_count,items,source
3660603081843,Mayonnaise,groceries,11,huile de colza | moutarde de dijon 5 | graines de moutarde | vinaigre d'alcool | vinaigre (vinaigre d'alcool | vinaigre de vin blanc | jus de citron à base de concentré | amidon modifié | épaississant : gomme xanthane | arômes | colorant : bêta carotène,Open Food Facts
4056489758716,Houmous,hummus,14,pois chiche cuit (pois chiche | huile de colza | pâte de sésame | acidifiant: acide citrique | ail en poudre | antioxydant: acide ascorbique | cumin | traces éventuelles d'œufs | de poissons | de céréales contenant du gluten | de crustacés | de lait | de fruits à coque | de moutarde et de soja,Open Food Facts
8076809513692,Napoletana,neapolitan sauces,14,tomatenfruchtfleisch | tomatenmarkkonzentrat | zwiebeln | wasser | karotten 3 | sonnenblumenöl | zucker | salz | knoblauch 0 | thymian 0 | schnittlauch 0 | petersilie 0 | aromen | schwarzer pfeffer 0,Open Food Facts
20023218,Sauce Tomate Napolitaine,tomato sauces with vegetables,6,of crushed tomatoes | double concentrate tomatoes | onion | carrots | sunflower oil | modified starch corn,Open Food Facts
8076809535755,Sauce tomate basilic,groceries,6,pulpe de tomates | concentré de tomates | oignons | huile de tournesol | basilic | arôme naturel,Open Food Facts
3560071010522,Houmous,groceries,7,pois chiches cuits | huile de tournesol | pâte de sésame 8 | jus de citron | acidifiants : acide citrique et acide lactique | ail en poudre | conservateur : sorbate de potassium,Open Food Facts
8711200552795,Amora Mayonnaise De Dijon Bocal 235g,groceries,10,huiles végétales (colza | tournesol | vinaigre de vin blanc | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | dextrine | arômes | épaississant : gomme xanthane | colorants : lutéine et extrait de paprika,Open Food Facts
8001060042308,Pesto alla genovese,green pestos,15,basilic | huile de tournesol | sirop de glucose | lactosérum en poudre | noix de cajou | flocons de pommes de terre (pommes de terre | épices | fromages (lait | œuf) (fromage | grana padano aop | arôme naturel | protéine de lactosérum | correcteur d'acidité : acide lactique | ail | pignons de pin,Open Food Facts
3245413808196,Pesto verde,groceries,16,huile de tournesol | basilic | grana padano aop (lait | présure | conservateur : lysozyme d'oeuf | noix de cajou 3 | flocons de pommes de terre (pommes de terre | émulsifiants : mono et diglycérides d'acides gras | pignons de pins 2 | fromage pecorino romano aop 1 | lait de brebis | bactéries lactiques | huile d'olive extra vierge | régulateur d'acidité : acide lactique | protéines de lactosérum | arôme de basilic,Open Food Facts
8005110000775,Sauce tomate Parmigiano Reggiano,tomato sauces,10,pulpe de tomates | coulis de tomate « rossoro » | triple concentré de tomate 7 | carotte | fromage parmigiano reggiano aop (lait | présure | huile d’olive | échalote | arôme naturel | poivre noir,Open Food Facts
20522605,Tomato Passata,strained tomatoes,3,tomato | vegetable | fruit vegetable,Open Food Facts
3700935390135,Pesto verde,green pestos,9,basilico genovese aop | huile de tournesol | parmigiano reggiano aop 4 | sel marin | farine et concassé de noix de cajou | acidifiant : acide lactique | arômes naturels | anti oxydant : acide ascorbique | ail,Open Food Facts
8853662056012,Sriracha Sauce,srira,8,chilli | sugar syrup (sugar | garlic | flavour enhancer: e621 | stabiliser: e415 | acidity regulators: e260 | e330 | preservative: e202,Open Food Facts
8720182461247,Amora Moutarde Forte Verre 185g,dijon mustards,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,Open Food Facts
3245412956355,Houmous Pois chiche & sésame,classic hummus,15,pois chiches | purée de graines de sésame | huile de colza | jus de citron concentré | vinaigre d'alcool | ail. peut contenir des traces de céleri | céréales contenant du gluten | crustacés | fruits à coque | lait | mollusques | moutarde | œufs | poissons | soja,Open Food Facts
5060228323799,Heavenly Houmous,hummus,8,cooked chickpeas (water | chickpeas | rapeseed oil | tahini | acidity regulator: citric acid | modified maize starch | garlic powder | preservative potassium sorbate,Open Food Facts
6111184008356,Sauce algerienne star,algerian style sauces,20,huile de colza | sirop de glucose | fructose | vinaigre de table | épaississant: amidon modifié | oignon | moutarde (eau | graines de moutarde | huile de soja | stabilisant e415 | conservateur: e224 et antioxydant: e330 | jaune d'œufs | concentré de tomate | stabilisant: e415 | conservateurs: e202 | e211 | antioxydants: e385 | e330 | correcteur d'acidité: e270 | colorant: e160c et oléorésine de capsicum,Open Food Facts
3270190121909,Moutarde de Dijon,groceries,4,graines de moutarde | vinaigre d'alcool | antioxydant : di sulfite de potassium | acidifiant : acide citrique,Open Food Facts
8076809513715,Sauce tomate aux olives,tomato sauces with olives,11,pulpe de tomates | concentré de tomates | olives (olives vertes | olives noires | oignons | huile de tournesol | câpres | arômes naturels | persil | ail | origan,Open Food Facts
8715700016504,Ketchup,tomato ketchup,6,tomaten | branntweinessig | zucker | salz | gewürz und kräuterextrakte | gewürz,Open Food Facts
8710522921500,AMORA Mayonnaise 5 Ingrédients 235g,groceries,6,notre moutarde de dijon 8 | graines de moutarde | vinaigre d'alcool | notre vinaigre de vin blanc | du jaune d'œuf origine france 5 | une touche de sel 0,Open Food Facts
6111250475129,Mayonnaise,mayonnaises,7,sunflower oil | spirit vinegar | table salt | egg yolk | mustard | modified starch | calcium disodium edta,Open Food Facts
3038352876506,Tomapizza,sauce tomate origan,5,tomato pulp with pieces and tomato puree | onions | sunflower oil | spices and aromatic plants (of which oregano 0 | processed corn starch,Open Food Facts
3292070007905,Tzatziki,prépation pour apéritifs,20,frischkäse mit 0 fett | cucumber or gherkin | vegetable | fruit vegetable | cucumber | baby cucumber | pickled cucumber | pickled gherkin | gherkin | rapeseed oil | dill | parsley | leaf vegetable | garlic | root vegetable | onion family vegetable | pepper | seed | e202 | e415,Open Food Facts
5000184321064,Majoneesi,mayonnaises,10,rypsiöljy | kananmuna (kananmuna | kananmunankeltuainen) 17 | vesi | etikka | sokeri | suola | aromi | sitruunamehutiiviste | hapettumisenestoaine,Open Food Facts
3292070005147,Tzatziki Extra,yaourt sale,19,yaourt ( lait de vache | crème | protéines de lait | ferments lactiques | concombres | fromage frais à de matière grasse | huile de colza | aneth 1 | vinaigre d'alcool | menthe 0 | ail | poivre en poudre | conservateur: e202 | épaississant: e415 | traces éventuelles de: céréales contenant du gluten | crustacés | oeufs | poissons | graines de sésame et mollusques,Open Food Facts
